car name,miles,vin,primary damage,car image,images
2007 VOLKSWAGEN PASSAT 2.0T, 172k mi (Not Required/Exempt) ,VIN: WVWGK73C97P088880 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24819803~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
1998 HONDA CR-V EX, 241k mi (Not Required/Exempt) ,VIN: JHLRD1866WC058120 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24830726~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2005 FORD F150 , 209k mi (Not Required/Exempt) ,VIN: 1FTRX14W25FB56634 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24839997~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 GMC ACADIA SLE, 229k mi (Not Required/Exempt) ,VIN: 1GKER13748J157132 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24722774~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2009 DODGE CHARGER , 218k mi (Not Required/Exempt) ,VIN: 2B3KA43D49H500863 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24732405~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
1998 JEEP CHEROKEE SPORT/CLASSIC, 142k mi (Not Required/Exempt) ,VIN: 1J4FJ68S0WL115506 ,Other | LEFT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24790558~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
1997 ACURA INTEGRA LS, 81k mi (Not Required/Exempt) ,VIN: JH4DB7650VS001571 ,Other | RIGHT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24872571~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 VOLKSWAGEN NEW BEETLE GLS, 149k mi (Not Required/Exempt) ,VIN: 3VWCD31CX4M406508 ,Other | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24891027~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 LINCOLN MARK LT , 175k mi (Not Required/Exempt) ,VIN: 5LTPW18536FJ05704 ,Other | LEFT FRONT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24892519~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 CHEVROLET EQUINOX LT, 136k mi (Not Required/Exempt) ,VIN: 2CNDL63F576020270 ,Other | LEFT FRONT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24896309~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
