estimated_price,car_name,miles,vin,body,primary_damage,secondary_damage,start_code,key_fob,airbags,car_image,url
7775,2007 NISSAN ALTIMA 2.5/2.5S,"113,198 mi (Not Required/Exempt)",VIN: 1N4AL21E07N450137 ,Sedan 4 Door,Left Side ,Front End ,Cannot Test Start ,Missing,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24651205~SID~I1,https://www.iaai.com/Vehicle?itemID=31854910&RowNumber=0&loadRecent=True
47266,2017 CHEVROLET SUBURBAN K1500 LT,"30,676 mi (Actual)",VIN: 1GNSKHKC7HR265201 ,Sport Utility Vehicle 4 Door,Front End ,Right Side ,Run & Drive (Starts With Jump),Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24999005~SID~I1,https://www.iaai.com/Vehicle?itemID=31255891&RowNumber=37&loadRecent=True
7369,2018 NISSAN VERSA S/S PLUS/SV/SL,"11,468 mi (Actual)",VIN: 3N1CN7AP9JL850834 ,Sedan 4 Door,Right Front ,Left Front ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24891753~SID~I1,https://www.iaai.com/Vehicle?itemID=31806740&RowNumber=35&loadRecent=True
5217,2006 NISSAN ALTIMA S/SL,"140,834 mi (Not Actual)",VIN: 1N4AL11D06N311156 ,Sedan 4 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24423419~SID~I1,https://www.iaai.com/Vehicle?itemID=31806736&RowNumber=34&loadRecent=True
1075,1998 LEXUS GS 300,"999,999 mi (Not Required/Exempt)",VIN: JT8BD68SXW0025551 ,Sedan 4 Door,Repossession ,none,Cannot Test Start ,Missing,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25247584~SID~I1,https://www.iaai.com/Vehicle?itemID=31575725&RowNumber=31&loadRecent=True
7554,2011 HONDA ACCORD EX,"78,871 mi (Actual)",VIN: 1HGCP3F79BA020258 ,Sedan 4 Door,Front End ,Left Side ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=22881464~SID~I1,https://www.iaai.com/Vehicle?itemID=28300346&RowNumber=32&loadRecent=True
1125,2003 BMW 325 I,"103,012 mi (Actual)",VIN: WBAEV33433KL82456 ,Sedan 4 Door,None ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25247351~SID~I1,https://www.iaai.com/Vehicle?itemID=31806758&RowNumber=38&loadRecent=True
0,2006 MERCEDES-BENZ C GENERATION 2006 230,"97,294 mi (Actual)",VIN: WDBRF52H76A901860 ,Sedan 4 Door,None ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25167274~SID~I1,https://www.iaai.com/Vehicle?itemID=31639656&RowNumber=33&loadRecent=True
5,2004 CHRYSLER CONCORDE LXI,"215,974 mi (Actual)",VIN: 2C3HD36M84H660067 ,Sedan 4 Door,Interior Burn ,Biohazard ,Run & Drive (Starts With Jump),Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=22935121~SID~I1,https://www.iaai.com/Vehicle?itemID=28425822&RowNumber=36&loadRecent=True
4413,2004 HONDA CIVIC LX,"127,478 mi (Not Required/Exempt)",VIN: 1HGEM22564L029930 ,Coupe 2 Door,Front End ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=22457961~SID~I1,https://www.iaai.com/Vehicle?itemID=27760535&RowNumber=27&loadRecent=True
2018,1997 INFINITI I30 ,"242,308 mi (Not Required/Exempt)",VIN: JNKCA21D5VT500084 ,Sedan 4 Door,Left Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25028030~SID~I1,https://www.iaai.com/Vehicle?itemID=31806693&RowNumber=30&loadRecent=True
4200,2007 CHEVROLET IMPALA LT,"162,582 mi (Not Required/Exempt)",VIN: 2G1WT58K179254636 ,Sedan 4 Door,Rear ,Undercarriage ,Vehicle Starts ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=19494590~SID~I1,https://www.iaai.com/Vehicle?itemID=31806672&RowNumber=28&loadRecent=True
3779,2006 SUBARU IMPREZA 2.5I SPORTS WAGON,"183,230 mi (Actual)",VIN: JF1GG67616H812690 ,Wagon 4 Door,Left Side ,none,Vehicle Starts ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25232873~SID~I1,https://www.iaai.com/Vehicle?itemID=31568409&RowNumber=348&loadRecent=True
1292,2005 TOYOTA COROLLA CE/LE,"71,002 mi (Not Actual)",VIN: JTDBR32E052052152 ,Sedan 4 Door,Left Front ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=22591419~SID~I1,https://www.iaai.com/Vehicle?itemID=27939015&RowNumber=29&loadRecent=True
500,1996 CHEVROLET SUBURBAN C1500,"334,261 mi (Not Required/Exempt)",VIN: 3GNEC16R9TG117253 ,Sport Utility Vehicle 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25090683~SID~I1,https://www.iaai.com/Vehicle?itemID=31639588&RowNumber=26&loadRecent=True
15279,2015 HYUNDAI SONATA SE,"18,021 mi (Actual)",VIN: 5NPE24AF7FH203280 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Starts With Jump ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25062056~SID~I1,https://www.iaai.com/Vehicle?itemID=31332705&RowNumber=345&loadRecent=True
